start date,name,sport type,distance (meters),moving time (seconds),elapsed time (seconds),total elevation gain (meters),average speed (meters/second),max speed (meters/second),average watts (watts),max watts (watts),average heartrate (bpm),max heartrate (bpm),kilojoules (kJ),elev high (meters),elev low (meters),timezone,achievement count,kudos count,athlete count
2024-09-07T14:18:48Z,Morning Row,Rowing,0.0,3884,3884,0.0,0.0,0.0,,,148.5,161.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-09-05T11:48:58Z,Morning Row,Rowing,0.0,4784,4784,0.0,0.0,0.0,,,156.9,170.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-09-04T11:24:50Z,Morning Row,Rowing,0.0,3776,3776,0.0,0.0,0.0,,,150.3,162.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-09-03T11:23:13Z,Morning Row,Rowing,0.0,5383,5383,0.0,0.0,0.0,,,157.9,169.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-09-02T12:26:44Z,Morning Row,Rowing,0.0,4852,4852,0.0,0.0,0.0,,,158.6,169.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-08-31T14:14:56Z,Morning Row,Rowing,0.0,4856,4856,0.0,0.0,0.0,,,161.6,192.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-08-27T16:01:29Z,Sørkedalsløpet,Run,10722.4,3112,3121,341.4,3.446,6.7,,,179.0,189.0,,349.6,165.2,(GMT+01:00) Europe/Oslo,0,26,13
2024-08-27T15:14:13Z,Afternoon Run,Run,5663.2,2065,2355,103.0,2.742,5.148,,,139.7,179.0,,196.8,163.4,(GMT+01:00) Europe/Oslo,0,0,1
2024-08-26T08:07:45Z,Morning Row,Rowing,0.0,4612,4612,0.0,0.0,0.0,,,156.6,177.0,,0.0,0.0,(GMT+02:00) Africa/Blantyre,0,0,1
2024-08-25T07:44:46Z,Morning Row,Rowing,0.0,4156,4156,0.0,0.0,0.0,,,157.6,167.0,,0.0,0.0,(GMT+02:00) Africa/Blantyre,0,0,1
2024-08-24T07:38:22Z,Morning Run,Run,7224.5,2701,2729,309.6,2.675,4.274,,,139.7,152.0,,416.2,196.4,(GMT+01:00) Europe/Oslo,0,0,1
2024-08-23T06:56:13Z,Uphill Intz,Run,13021.0,4168,4362,380.0,3.124,5.69,,,151.3,191.0,,430.6,145.0,(GMT+01:00) Europe/Oslo,1,19,1
2024-08-08T10:21:33Z,Morning Run,Run,12263.7,3252,3277,57.2,3.771,5.262,,,154.8,173.0,,8.6,-0.2,(GMT-05:00) America/New_York,20,0,2
2024-08-05T10:16:20Z,Morning Run,Run,10133.2,2562,2562,45.6,3.955,6.534,,,157.2,182.0,,29.2,0.6,(GMT-05:00) America/New_York,11,0,1
2024-08-01T10:00:35Z,Morning Run,Run,5908.8,1657,1660,11.9,3.566,4.868,,,,,,7.2,2.4,(GMT-05:00) America/New_York,3,0,1
2024-07-27T17:37:38Z,Steady State,Rowing,0.0,5154,5154,0.0,0.0,0.0,,,155.0,178.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-07-26T10:18:36Z,Morning Row,Rowing,0.0,2616,2616,0.0,0.0,0.0,,,157.9,173.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-07-24T10:32:14Z,Morning Run,Run,10691.3,3131,3230,59.2,3.415,6.185,,,147.4,165.0,,9.2,-0.8,(GMT-05:00) America/New_York,19,0,2
2024-07-22T10:43:33Z,Morning Run,Run,5732.4,1316,1316,0.0,4.356,6.822,,,,,,4.7,2.9,(GMT-05:00) America/New_York,2,0,1
2024-07-15T10:17:58Z,Morning Run,Run,5799.7,1476,4435,0.0,3.929,15.174,,,,,,4.6,4.5,(GMT-05:00) America/New_York,0,0,1
2024-07-12T10:44:39Z,Morning Lap,Run,10253.3,2974,3134,19.2,3.448,9.488,,,,,,9.4,1.9,(GMT-05:00) America/New_York,22,14,2
2024-07-11T10:12:16Z,Morning Intz,Rowing,8883.4,3478,3502,0.0,2.554,10.476,,,,,,4.6,4.5,(GMT-05:00) America/New_York,0,10,1
2024-07-10T09:47:15Z,Morning RP3,Rowing,219.4,159,5143,0.0,1.38,3.458,,,,,,3.0,2.9,(GMT-05:00) America/New_York,0,16,1
2024-07-03T11:08:30Z,Morning Run,Run,9400.0,1791,1795,51.4,5.248,4.944,,,135.3,145.0,,13.2,-0.8,(GMT-05:00) America/New_York,14,0,3
2024-07-01T10:11:00Z,Big Boy Run Club,Run,11967.7,3384,3510,125.0,3.537,7.806,,,146.7,183.0,,13.0,0.0,(GMT-05:00) America/New_York,2,19,1
2024-06-29T13:35:04Z,Morning Run,Run,11313.0,3253,3324,22.9,3.478,9.3,,,,,,9.6,1.5,(GMT-05:00) America/New_York,0,0,3
2024-06-15T18:28:53Z,Afternoon Run,Run,15765.2,4541,5068,54.3,3.472,6.444,,,,,,30.9,2.4,(GMT-05:00) America/New_York,2,0,1
